Category,category_id,Subcategory,subcateogory_id,amount,year
議会費,1,議会費,1.1,250404000,2013
総務費,2,総務管理費,2.1,1100363000,2013
総務費,2,市民活動費,2.2,274036000,2013
総務費,2,徴税費,2.3,106126000,2013
総務費,2,戸籍住民基本台帳費,2.4,71470000,2013
総務費,2,選挙費,2.5,52392000,2013
総務費,2,統計調査費,2.6,8713000,2013
総務費,2,監査委員費,2.7,4484000,2013
総務費,2,職員費,2.8,6260745000,2013
民生費,3,社会福祉費,3.1,4956844000,2013
民生費,3,児童福祉費,3.2,3736426000,2013
民生費,3,生活保護費,3.3,2770656000,2013
民生費,3,災害救助費,3.4,5000,2013
衛生費,4,保健衛生費,4.1,640128000,2013
衛生費,4,清掃費,4.2,1613067000,2013
労働費,5,労働諸費,5.1,53445000,2013
農林水産業費,6,農業費,6.1,365339000,2013
農林水産業費,6,林業費,6.2,2821000,2013
商工費,7,商工費,7.1,1734448000,2013
土木費,8,土木管理費,8.1,26418000,2013
土木費,8,道路橋梁費,8.2,1778228000,2013
土木費,8,河川費,8.3,154085000,2013
土木費,8,都市計画費,8.4,879779000,2013
土木費,8,住宅費,8.5,707253000,2013
消防費,9,消防費,9.1,235703000,2013
教育費,10,教育総務費,10.1,480543000,2013
教育費,10,小学校費,10.2,1076559000,2013
教育費,10,中学校費,10.3,557058000,2013
教育費,10,社会教育費,10.4,352526000,2013
教育費,10,保健体育費,10.5,528602000,2013
公債費,11,公債費,11.1,4794149000,2013
諸支出金,12,他会計繰出金,12.1,5149579000,2013
諸支出金,12,公営企業団費,12.2,77606000,2013
予備費,13,予備費,13.1,50000000,2013
