Category,category_id,Subcategory,subcateogory_id,amount,year
議会費,1,議会費,1.1,248738000,2014
総務費,2,総務管理費,2.1,820445000,2014
総務費,2,市民活動費,2.2,310560000,2014
総務費,2,徴税費,2.3,125810000,2014
総務費,2,戸籍住民基本台帳費,2.4,77570000,2014
総務費,2,選挙費,2.5,31244000,2014
総務費,2,統計調査費,2.6,14790000,2014
総務費,2,監査委員費,2.7,4779000,2014
総務費,2,職員費,2.8,6100404000,2014
民生費,3,社会福祉費,3.1,5482974000,2014
民生費,3,児童福祉費,3.2,3946553000,2014
民生費,3,生活保護費,3.3,2714190000,2014
民生費,3,災害救助費,3.4,5000,2014
衛生費,4,保健衛生費,4.1,652320000,2014
衛生費,4,清掃費,4.2,1656122000,2014
労働費,5,労働諸費,5.1,44676000,2014
農林水産業費,6,農業費,6.1,391149000,2014
農林水産業費,6,林業費,6.2,2997000,2014
商工費,7,商工費,7.1,1472961000,2014
土木費,8,土木管理費,8.1,20651000,2014
土木費,8,道路橋梁費,8.2,2400035000,2014
土木費,8,河川費,8.3,168783000,2014
土木費,8,都市計画費,8.4,1719480000,2014
土木費,8,住宅費,8.5,445356000,2014
消防費,9,消防費,9.1,224802000,2014
教育費,10,教育総務費,10.1,465330000,2014
教育費,10,小学校費,10.2,2486571000,2014
教育費,10,中学校費,10.3,1275487000,2014
教育費,10,社会教育費,10.4,365199000,2014
教育費,10,保健体育費,10.5,640117000,2014
公債費,11,公債費,11.1,4712655000,2014
諸支出金,12,他会計繰出金,12.1,5266442000,2014
諸支出金,12,公営企業団費,12.2,70805000,2014
予備費,13,予備費,13.1,50000000,2014
